წყარო,სათაური,ავტორი,აბსოლუტური ლინკი,ISBN,ფასი,ყდა
არტანუჯი,"თუ საჭიროა, გათქმევინებთ",შორენა ლებანიძე,https://www.artanuji.ge/book_ge.php?id=408,978-9941-487-17-0,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_7553159347.jpg
არტანუჯი,ქართველთა გამუსლიმება (ზეპირი ისტორიები),ზაქარია ჭიჭინაძე,https://www.artanuji.ge/book_ge.php?id=407,ინფორმაცია არ არის,13.95,https://www.artanuji.ge/img-site/upload/books/thumb_1818387918.jpg
არტანუჯი,ყორანი და სხვა ლექსები,ედგარ ალან პო,https://www.artanuji.ge/book_ge.php?id=406,978-9941-487-14-9,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_177919613.jpg
არტანუჯი,ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება,100 ამბავი,https://www.artanuji.ge/book_ge.php?id=405,978-9941-478-93-2,11.95,https://www.artanuji.ge/img-site/upload/books/thumb_3191930041.jpg
არტანუჯი,ქართული ენა – VII კლასი,"დიანა ანფიმიადი, ზინა გაბიჩვაძე, ივანე ამირხანაშვილი",https://www.artanuji.ge/book_ge.php?id=404,ინფორმაცია არ არის,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_7678860421.jpg
არტანუჯი,ქართული ლიტერატურა – VII კლასი,"დიანა ანფიმიადი, ზინა გაბიჩვაძე, ივანე ამირხანაშვილი",https://www.artanuji.ge/book_ge.php?id=403,ინფორმაცია არ არის,0.00,https://www.artanuji.ge/img-site/upload/books/thumb_68190284.jpg
არტანუჯი,"მარანი, ქვევრი, ღვინო",გიორგი ბარისაშვილი,https://www.artanuji.ge/book_ge.php?id=402,978-9941-478-91-8,79.95,https://www.artanuji.ge/img-site/upload/books/thumb_5828200494.jpg
არტანუჯი,მჭიდროდ დაკეცილი დროშები,თორნიკე რაზმაძე,https://www.artanuji.ge/book_ge.php?id=401,978-9941-487-07-1,13.95,https://www.artanuji.ge/img-site/upload/books/thumb_4472043942.jpg
არტანუჯი,ცისნათელი ფერად მინებში,კონსტანტინე ზ. გამსახურდიას თარგმანები,https://www.artanuji.ge/book_ge.php?id=400,978-9941-487-08-8,11.95,https://www.artanuji.ge/img-site/upload/books/thumb_2511289720.jpg
არტანუჯი,მე – ნამდვილი კოკოშა,ჯანა ამირეჯიბი,https://www.artanuji.ge/book_ge.php?id=399,978-9941-478-88-8,19.95,https://www.artanuji.ge/img-site/upload/books/thumb_6960023306.jpg
არტანუჯი,ცხოვრება საბჭოეთში,70 ამბავი,https://www.artanuji.ge/book_ge.php?id=398,ინფორმაცია არ არის,13.95,https://www.artanuji.ge/img-site/upload/books/thumb_4528495967.jpg
არტანუჯი,გალაკტიონი,200 ამბავი,https://www.artanuji.ge/book_ge.php?id=397,978-9941-478-92-5,14.95,https://www.artanuji.ge/img-site/upload/books/thumb_4854476340.jpg
არტანუჯი,დამწერლობა. 100 ამბავი,დავით მაისურაძე,https://www.artanuji.ge/book_ge.php?id=396,978-9941-478-99-4,11.95,https://www.artanuji.ge/img-site/upload/books/thumb_6819323152.jpg
არტანუჯი,სუმო. 90 ამბავი,ბექა ხოჯავა,https://www.artanuji.ge/book_ge.php?id=395,ინფორმაცია არ არის,13.95,https://www.artanuji.ge/img-site/upload/books/thumb_5141581576.jpg
არტანუჯი,100 ამბავი. 100 ფეხბურთელი,ზვიად ბერეკაშვილი,https://www.artanuji.ge/book_ge.php?id=394,ინფორმაცია არ არის,13.95,https://www.artanuji.ge/img-site/upload/books/thumb_6438976400.jpg
არტანუჯი,100 ამბავი ოთარ ჩხეიძეზე,როსტომ ჩხეიძე,https://www.artanuji.ge/book_ge.php?id=393,ინფორმაცია არ არის,11.95,https://www.artanuji.ge/img-site/upload/books/thumb_688869394.jpg
არტანუჯი,საყოველთაოდ მიღებული აზრების ლექსიკონი,გუსტავ ფლობერი,https://www.artanuji.ge/book_ge.php?id=392,978-9941-478-97-0,19.95,https://www.artanuji.ge/img-site/upload/books/thumb_5202260357.jpg
