წყარო,სათაური,ავტორი,აბსოლუტური ლინკი,ISBN,ფასი,ყდა
პალიტრა L,ჩემი იისფერი ზღაპრები,ავტორი არ არის მითითებული,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2699&lang=ka-GE,978-9941-29-795-3,24.95,https://www.palitral.ge//pictures/image17/c26898b8636e61e8545c1ca752a04784.jpg
პალიტრა L,25 ჯადოსნური ზღაპარი,ავტორი არ არის მითითებული,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2698&lang=ka-GE,978-9941-29-795-3,24.95,https://www.palitral.ge//pictures/image17/660f47b0518db38c0c7a41ba8f29cbb8.jpg
პალიტრა L,მომიყევი ზღაპარი,ავტორი არ არის მითითებული,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2697&lang=ka-GE,978-9941-29-720-5,24.95,https://www.palitral.ge//pictures/image17/906cdde8754e2a76911c6250314220a5.jpg
პალიტრა L,პირველად იყო რატომ,საიმონ სინეკი,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2695&lang=ka-GE,978-9941-29-768-7,16.95,https://www.palitral.ge//pictures/image17/c2c31421caa6d031cf6a84cdf14e5df3.jpg
პალიტრა L,აუშვიცის ტატუისტი,ჰიზერ მორისი,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2696&lang=ka-GE,978-9941-29-754-0,12.95,https://www.palitral.ge//pictures/image17/c4928391b853ecfc25cc9d1b8b5d29f1.jpg
პალიტრა L,2000 მცენარეული სამკურნალო რეცეპტი ნაწილი I,ავტორი არ არის მითითებული,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2559&lang=ka-GE,978-9941-29-257-6,15,https://www.palitral.ge//pictures/image17/518e026c4841cb98be9a80f4777f7004.png
პალიტრა L,თიხის ხიდი,მარკუს ზუზაკი,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2694&lang=ka-GE,978-9941-29-785-4,14.95,https://www.palitral.ge//pictures/image17/ada5f5f57d4c7654eb6ca6c95ce849cf.jpg
პალიტრა L,კოსმოსური საქმე,სტიუარტ გიბსი,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2693&lang=ka-GE,978-9941-29-826-4,11.95,https://www.palitral.ge//pictures/image17/4eb3aa7a36698fee2c64dfc285196546.jpg
პალიტრა L,"ბებიამ მთხოვა, თქვენთვის მეთქვა, რომ ბოდიშს იხდის",ფრედრიკ ბაკმანი,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2692&lang=ka-GE,978-9941-29-814-1,14.95,https://www.palitral.ge//pictures/image17/26ea4df5fef6afb76ac3263ba95186b8.jpg
პალიტრა L,ჯუნოუ დიაზი,ჯუნოუ დიაზი,https://www.palitral.ge//tsigni.html?view=item&id=&bookid=2691&lang=ka-GE,978-9941-29-751-9,17.95,https://www.palitral.ge//pictures/image17/f449cffacd943ce92c6d88fe89486d85.jpg
